Done in 9.838456153869629
3+00:00] Imported: 1, batch_size: 50
[2022-12-14 20:32:02.323867+00:00] Imported: 153, batch_size: 50
[2022-12-14 20:32:02.325295+00:00] Imported: 154, batch_size: 50
[2022-12-14 20:32:02.326822+00:00] Imported: 155, batch_size: 50
[2022-12-14 20:32:02.328255+00:00] Imported: 156, batch_size: 50
[2022-12-14 20:32:02.329622+00:00] Imported: 157, batch_size: 50
[2022-12-14 20:32:02.330979+00:00] Imported: 158, batch_size: 50
[2022-12-14 20:32:02.335360+00:00] Imported: 159, batch_size: 50
[2022-12-14 20:32:02.336927+00:00] Imported: 160, batch_size: 50
[2022-12-14 20:32:02.338318+00:00] Imported: 161, batch_size: 50
[2022-12-14 20:32:02.339795+00:00] Imported: 162, batch_size: 50
[2022-12-14 20:32:02.341191+00:00] Imported: 163, batch_size: 50
[2022-12-14 20:32:02.342549+00:00] Imported: 164, batch_size: 50
[2022-12-14 20:32:02.344044+00:00] Imported: 165, batch_size: 50
[2022-12-14 20:32:02.345524+00:00] Imported: 166, batch_size: 50
[2022-12-14 20:32:02.346892+00:00] Imported: 167, batch_size: 50
[2022-12-14 20:32:02.348287+00:00] Imported: 168, batch_size: 50
[2022-12-14 20:32:02.349662+00:00] Imported: 169, batch_size: 50
[2022-12-14 20:32:02.351136+00:00] Imported: 170, batch_size: 50
[2022-12-14 20:32:02.352686+00:00] Imported: 171, batch_size: 50
[2022-12-14 20:32:02.354149+00:00] Imported: 172, batch_size: 50
[2022-12-14 20:32:02.355585+00:00] Imported: 173, batch_size: 50
[2022-12-14 20:32:02.357017+00:00] Imported: 174, batch_size: 50
[2022-12-14 20:32:02.358384+00:00] Imported: 175, batch_size: 50
[2022-12-14 20:32:02.360142+00:00] Imported: 176, batch_size: 50
[2022-12-14 20:32:02.362349+00:00] Imported: 177, batch_size: 50
[2022-12-14 20:32:02.365672+00:00] Imported: 178, batch_size: 50
[2022-12-14 20:32:02.369046+00:00] Imported: 179, batch_size: 50
[2022-12-14 20:32:02.370605+00:00] Imported: 180, batch_size: 50
[2022-12-14 20:32:02.372387+00:00] Imported: 181, batch_size: 50
[2022-12-14 20:32:02.375066+00:00] Imported: 182, batch_size: 50
[2022-12-14 20:32:02.376672+00:00] Imported: 183, batch_size: 50
[2022-12-14 20:32:02.378409+00:00] Imported: 184, batch_size: 50
[2022-12-14 20:32:02.380948+00:00] Imported: 185, batch_size: 50
[2022-12-14 20:32:02.383030+00:00] Imported: 186, batch_size: 50
[2022-12-14 20:32:02.385858+00:00] Imported: 187, batch_size: 50
[2022-12-14 20:32:02.389064+00:00] Imported: 188, batch_size: 50
[2022-12-14 20:32:02.391267+00:00] Imported: 189, batch_size: 50
[2022-12-14 20:32:02.392636+00:00] Imported: 190, batch_size: 50
[2022-12-14 20:32:02.394000+00:00] Imported: 191, batch_size: 50
[2022-12-14 20:32:02.395404+00:00] Imported: 192, batch_size: 50
[2022-12-14 20:32:02.397505+00:00] Imported: 193, batch_size: 50
[2022-12-14 20:32:02.399078+00:00] Imported: 194, batch_size: 50
[2022-12-14 20:32:02.400786+00:00] Imported: 195, batch_size: 50
[2022-12-14 20:32:02.402294+00:00] Imported: 196, batch_size: 50
[2022-12-14 20:32:02.403777+00:00] Imported: 197, batch_size: 50
[2022-12-14 20:32:02.405196+00:00] Imported: 198, batch_size: 50
[2022-12-14 20:32:02.406607+00:00] Imported: 199, batch_size: 50
[2022-12-14 20:32:02.408094+00:00] Imported: 200, batch_size: 50
[2022-12-14 20:32:02.409555+00:00] Imported: 201, batch_size: 50
[2022-12-14 20:32:02.410947+00:00] Imported: 202, batch_size: 50
[2022-12-14 20:32:02.412324+00:00] Imported: 203, batch_size: 50
[2022-12-14 20:32:02.413975+00:00] Imported: 204, batch_size: 50
